Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"2,197,000","1,087.16","2,021",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"21,752",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,158,000",516.67,"2,241",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,125",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,382,000",645.84,"2,140",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,033",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,228,000","1,087.16","2,049",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,059",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,796,000",882.65,"2,035",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"21,902",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,164,000",516.67,"2,253",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,250",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,221,000","1,087.16","2,043",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"21,990",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,812,000",882.65,"2,053",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,098",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,237,000","1,087.16","2,058",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,149",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,410,000",645.84,"2,183",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"3,268,000","1,679.18","1,946",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,156,"20,949",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,237,000","1,087.16","2,058",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,149",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,188,000",516.67,"2,299",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,750",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,417,000",645.84,"2,194",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,617",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,245,000","1,087.16","2,065",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,228",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,194,000",516.67,"2,311",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,875",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,253,000","1,087.16","2,072",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,307",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,844,000",882.65,"2,089",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,488",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,200,000",516.67,"2,323",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,000",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,261,000","1,087.16","2,080",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,386",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,206,000",516.67,"2,334",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,125",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,575,000",710.42,"2,217",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,864",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,292,000","1,087.16","2,108",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,693",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,860,000",882.65,"2,107",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,683",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,212,000",516.67,"2,346",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,250",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,445,000",645.84,"2,237",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,083",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,582,000",710.42,"2,227",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,970",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,300,000","1,087.16","2,116",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,772",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,868,000",882.65,"2,116",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,780",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,218,000",516.67,"2,357",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,375",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,452,000",645.84,"2,248",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,200",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,589,000",710.42,"2,237",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,076",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,285,000","1,087.16","2,102",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,624",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,876,000",882.65,"2,125",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,878",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,224,000",516.67,"2,369",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,459,000",645.84,"2,259",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,317",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,596,000",710.42,"2,247",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,182",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,316,000","1,087.16","2,130",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,931",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,884,000",882.65,"2,134",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"22,976",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,230,000",516.67,"2,381",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"25,625",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,466,000",645.84,"2,270",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,433",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,603,000",710.42,"2,256",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,288",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,325,000","1,087.16","2,139",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"23,020",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,892,000",882.65,"2,144",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,073",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,480,000",645.84,"2,292",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,667",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,941,000","1,388.56","2,118",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,129,"22,798",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,617,000",710.42,"2,276",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,317,000","1,087.16","2,131",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,941",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,908,000",882.65,"2,162",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,268",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,248,000",516.67,"2,415",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"26,000",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,617,000",710.42,"2,276",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,317,000","1,087.16","2,131",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,941",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,908,000",882.65,"2,162",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,268",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,248,000",516.67,"2,415",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"26,000",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,487,000",645.84,"2,302",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,783",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,624,000",710.42,"2,286",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,606",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,325,000","1,087.16","2,139",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"23,020",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,916,000",882.65,"2,171",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,366",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,254,000",516.67,"2,427",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"26,125",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,494,000",645.84,"2,313",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,900",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,631,000",710.42,"2,296",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,712",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,357,000","1,087.16","2,168",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"23,337",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,924,000",882.65,"2,180",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,463",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,501,000",645.84,"2,324",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,017",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,638,000",710.42,"2,306",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,818",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,365,000","1,087.16","2,175",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"23,416",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,952,000",882.65,"2,212",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"23,805",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,266,000",516.67,"2,450",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"26,375",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"3,118,000","1,657.66","1,881",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,154,"20,247",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,738,000",871.88,"1,993",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,81,"21,457",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,063,000",484.38,"2,195",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,622",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,738,000","1,377.79","1,987",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,391",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,135,000",516.67,"2,197",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"23,646",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,058,000",484.38,"2,184",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,511",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,180,000","1,076.4","2,025",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"21,800",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,128,000",516.67,"2,183",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"23,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,069,000",484.38,"2,207",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,756",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,454,000",710.42,"2,047",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,030",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,064,000",484.38,"2,197",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,644",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,188,000","1,076.4","2,033",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"21,880",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,408,000",678.13,"2,076",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,349",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,134,000",516.67,"2,195",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"23,625",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,075,000",484.38,"2,219",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,889",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,461,000",710.42,"2,057",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,136",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,070,000",484.38,"2,209",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"23,778",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,196,000","1,076.4","2,040",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"21,960",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,415,000",678.13,"2,087",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,460",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,140,000",516.67,"2,206",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"23,750",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,765,000","1,377.79","2,007",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,602",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,468,000",710.42,"2,066",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,242",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,182,000","1,076.4","2,027",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"21,820",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,422,000",678.13,"2,097",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,571",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,475,000",710.42,"2,076",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,348",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,190,000","1,076.4","2,035",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"21,900",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,429,000",678.13,"2,107",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,683",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,099,000",484.38,"2,269",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,422",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,489,000",710.42,"2,096",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,561",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,206,000","1,076.4","2,049",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,060",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,443,000",678.13,"2,128",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,905",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,099,000",484.38,"2,269",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,422",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,489,000",710.42,"2,096",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"22,561",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,094,000",484.38,"2,259",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,311",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,206,000","1,076.4","2,049",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,060",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,443,000",678.13,"2,128",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"22,905",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,105,000",484.38,"2,281",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,556",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,801,000","1,377.79","2,033",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,128,"21,883",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,100,000",484.38,"2,271",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,444",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"2,214,000","1,076.4","2,057",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,140",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,170,000",516.67,"2,264",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,375",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,06 to 10
PICCADILLY GRAND,"1,111,000",484.38,"2,294",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,689",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,106,000",484.38,"2,283",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,578",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,222,000","1,076.4","2,064",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,220",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,457,000",678.13,"2,149",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"23,127",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,176,000",516.67,"2,276",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,117,000",484.38,"2,306",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,822",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,553,000",710.42,"2,186",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,530",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"2,230,000","1,076.4","2,072",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"22,300",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,464,000",678.13,"2,159",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,63,"23,238",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,182,000",516.67,"2,288",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,625",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,123,000",484.38,"2,318",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,956",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,560,000",710.42,"2,196",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"23,636",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
PICCADILLY GRAND,"1,118,000",484.38,"2,308",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,45,"24,844",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,11 to 15
